10/04/2018 07:30:33 PM: Namespace(audio='call', fraction_to_drop=0.5, k=60, num_samples=144, r=12, speed_over_accuracy=1)
10/04/2018 07:30:33 PM: num_cores:
10/04/2018 07:30:33 PM: 72
10/04/2018 07:30:33 PM: Parallelize sampling.
10/04/2018 07:30:33 PM: The signal length is 2120640: 
10/04/2018 07:30:33 PM: The number of frames 'K' is 4141: 
10/04/2018 07:30:33 PM: The length of each frame 'L' is 512: 
10/04/2018 07:30:37 PM: START
10/04/2018 07:30:37 PM: [0.0, 'ground set remaining:', 176679, 'size of current solution:', 0]
10/04/2018 07:30:46 PM: [52.93078915403699, 'ground set remaining:', 176674, 'size of current solution:', 5]
10/04/2018 07:30:56 PM: [102.20842737363495, 'ground set remaining:', 176669, 'size of current solution:', 10]
10/04/2018 07:31:07 PM: [147.8517514921695, 'ground set remaining:', 176664, 'size of current solution:', 15]
10/04/2018 07:31:17 PM: [194.08624218322706, 'ground set remaining:', 176659, 'size of current solution:', 20]
10/04/2018 07:31:27 PM: [238.92605515832253, 'ground set remaining:', 176654, 'size of current solution:', 25]
10/04/2018 07:31:37 PM: [282.8550275785475, 'ground set remaining:', 176649, 'size of current solution:', 30]
10/04/2018 07:31:48 PM: [324.5458332764921, 'ground set remaining:', 176644, 'size of current solution:', 35]
10/04/2018 07:31:58 PM: [367.6706968244346, 'ground set remaining:', 176639, 'size of current solution:', 40]
10/04/2018 07:32:08 PM: [409.81921592979745, 'ground set remaining:', 176634, 'size of current solution:', 45]
10/04/2018 07:32:18 PM: [451.5365966778611, 'ground set remaining:', 176629, 'size of current solution:', 50]
10/04/2018 07:32:29 PM: [492.43538613632154, 'ground set remaining:', 176624, 'size of current solution:', 55]
10/04/2018 07:32:42 PM: STOP
