10/04/2018 08:04:58 PM: Namespace(audio='billy', fraction_to_drop=0.5, k=100, num_samples=144, r=12, speed_over_accuracy=1)
10/04/2018 08:04:58 PM: num_cores:
10/04/2018 08:04:58 PM: 72
10/04/2018 08:04:58 PM: Parallelize sampling.
10/04/2018 08:04:58 PM: The signal length is 984000: 
10/04/2018 08:04:58 PM: The number of frames 'K' is 1921: 
10/04/2018 08:04:58 PM: The length of each frame 'L' is 512: 
10/04/2018 08:04:59 PM: START
10/04/2018 08:04:59 PM: [0.0, 'ground set remaining:', 81959, 'size of current solution:', 0]
10/04/2018 08:05:07 PM: [78.57522233076062, 'ground set remaining:', 81951, 'size of current solution:', 8]
10/04/2018 08:05:14 PM: [150.97258553307452, 'ground set remaining:', 81943, 'size of current solution:', 16]
10/04/2018 08:05:21 PM: [217.45364326880247, 'ground set remaining:', 81935, 'size of current solution:', 24]
10/04/2018 08:05:28 PM: [283.4533484877719, 'ground set remaining:', 81927, 'size of current solution:', 32]
10/04/2018 08:05:35 PM: [346.35423181075066, 'ground set remaining:', 81919, 'size of current solution:', 40]
10/04/2018 08:05:42 PM: [407.2870126829662, 'ground set remaining:', 81911, 'size of current solution:', 48]
10/04/2018 08:05:49 PM: [469.19821912693794, 'ground set remaining:', 81903, 'size of current solution:', 56]
10/04/2018 08:05:56 PM: [529.2343508897941, 'ground set remaining:', 81895, 'size of current solution:', 64]
10/04/2018 08:06:03 PM: [588.8354511195953, 'ground set remaining:', 81887, 'size of current solution:', 72]
10/04/2018 08:06:10 PM: [648.623651980095, 'ground set remaining:', 81879, 'size of current solution:', 80]
10/04/2018 08:06:17 PM: [708.4613895674097, 'ground set remaining:', 81871, 'size of current solution:', 88]
10/04/2018 08:06:24 PM: [768.1540265922488, 'ground set remaining:', 81863, 'size of current solution:', 96]
10/04/2018 08:06:33 PM: STOP
